company,Date,Unnamed: 0_x, Female % , Male % , % White , % Asian , % Latino , % Black , % Multi , % Undeclared ,Unnamed: 0_y,year
Twitter,2014,9.0,30.0,70.0,59.0,29.0,3.0,2.0,3.0,0.0,3509.5,2016.0
Twitter,Aug 2016,40.0,34.0,56.0,59.0,29.0,3.0,2.0,3.0,0.0,3509.5,2016.0
Twitter,Jan 2018,73.0,37.0,63.0,57.0,32.0,4.0,3.0,3.0,0.0,3509.5,2016.0
Twitter,Jul 2015,104.0,30.0,70.0,59.0,29.0,3.0,2.0,3.0,0.0,3509.5,2016.0
Twitter,May 2018,136.0,38.39999999999989,61.6000000000002,43.5,25.800000000000086,3.399999999999989,3.399999999999989,2.699999999999992,21.09999999999994,3509.5,2016.0
Uber,Aug 2016,58.0,36.100000000000094,63.899999999999785,49.800000000000054,30.89999999999995,5.600000000000016,8.799999999999972,4.29999999999999,0.0,3689.5,2016.0
Uber,Jan 2018,91.0,36.100000000000094,63.899999999999785,49.800000000000054,30.89999999999995,5.600000000000016,8.799999999999972,4.29999999999999,0.0,3689.5,2016.0
Uber,May 2018,154.0,38.0,62.0,48.600000000000165,32.300000000000104,6.1000000000000085,8.099999999999984,4.29999999999999,0.0,3689.5,2016.0
eBay,2014,14.0,42.0,58.0,61.0,24.0,5.0,7.0,1.0,0.0,989.5,2016.0
eBay,Aug 2016,45.0,43.0,57.0,60.0,25.0,5.0,8.0,1.0,0.0,989.5,2016.0
eBay,Jan 2018,78.0,38.0,62.0,52.0,40.0,4.0,2.0,1.0,0.0,989.5,2016.0
eBay,Jul 2015,109.0,43.0,57.0,60.0,25.0,5.0,8.0,1.0,0.0,989.5,2016.0
eBay,May 2018,141.0,40.0,60.0,50.0,39.0,6.0,3.0,1.0,0.0,989.5,2016.0
